manufacturer,model,year,version,0
Mitsubishi,i-MiEV,2013,i-MiEV,3211
Volkswagen,Golf,2014,e-Golf,2691
Opel,Ampera,2012,Ampera ePionier,2563
Mitsubishi,i-MiEV,2011,i-MiEV,2185
Kia,Soul,2016,Kia Soul EV,2057
Opel,Ampera,2012,ePionier Lithiumweiß Elektrischer Antrieb,1727
Hyundai,IONIQ,2018,electric,1552
Volkswagen,Golf,2015,e-Golf,1392
Volkswagen,Golf,2018,e-Golf,1372
Hyundai,IONIQ,2018,Roadrunner,1343
Mercedes-Benz,B-Klasse,2015,B250e,1310
Opel,Ampera,2017,Ampera-e First Edition,1301
Tesla Motors,Model S,2015,Model S85,1292
Volkswagen,Golf,2016,e-Golf,1289
Nissan,Leaf,2013,Leaf ZE0,1283
Mitsubishi,i-MiEV,2014,i-MiEV,1243
Tesla Motors,Model S,2017,75D,1237
Hyundai,IONIQ,2017,Premium,1167
Mitsubishi,i-MiEV,2011,i-MiEV,832
Nissan,Leaf,2017,Black Edition,687
manufacturer,model,year,version,2
